date,areaType,areaCode,areaName,newCasesByPublishDate
"2020-11-10",nation,N92000002,Northern Ireland,514
"2020-11-09",nation,N92000002,Northern Ireland,471
"2020-11-08",nation,N92000002,Northern Ireland,420
"2020-11-07",nation,N92000002,Northern Ireland,528
"2020-11-06",nation,N92000002,Northern Ireland,595
"2020-11-05",nation,N92000002,Northern Ireland,516
"2020-11-04",nation,N92000002,Northern Ireland,679
"2020-11-03",nation,N92000002,Northern Ireland,570
"2020-11-02",nation,N92000002,Northern Ireland,493
"2020-11-01",nation,N92000002,Northern Ireland,685
"2020-10-31",nation,N92000002,Northern Ireland,649
"2020-10-30",nation,N92000002,Northern Ireland,566
"2020-10-29",nation,N92000002,Northern Ireland,822
"2020-10-28",nation,N92000002,Northern Ireland,840
"2020-10-27",nation,N92000002,Northern Ireland,722
"2020-10-26",nation,N92000002,Northern Ireland,727
"2020-10-25",nation,N92000002,Northern Ireland,896
"2020-10-24",nation,N92000002,Northern Ireland,923
"2020-10-23",nation,N92000002,Northern Ireland,1252
"2020-10-22",nation,N92000002,Northern Ireland,1042
"2020-10-21",nation,N92000002,Northern Ireland,1039
"2020-10-20",nation,N92000002,Northern Ireland,913
"2020-10-19",nation,N92000002,Northern Ireland,820
"2020-10-18",nation,N92000002,Northern Ireland,1012
"2020-10-17",nation,N92000002,Northern Ireland,1031
"2020-10-16",nation,N92000002,Northern Ireland,1299
"2020-10-15",nation,N92000002,Northern Ireland,763
"2020-10-14",nation,N92000002,Northern Ireland,1217
"2020-10-13",nation,N92000002,Northern Ireland,863
"2020-10-12",nation,N92000002,Northern Ireland,877
"2020-10-11",nation,N92000002,Northern Ireland,1066
"2020-10-10",nation,N92000002,Northern Ireland,902
"2020-10-09",nation,N92000002,Northern Ireland,1080
"2020-10-08",nation,N92000002,Northern Ireland,923
"2020-10-07",nation,N92000002,Northern Ireland,828
"2020-10-06",nation,N92000002,Northern Ireland,669
"2020-10-05",nation,N92000002,Northern Ireland,616
"2020-10-04",nation,N92000002,Northern Ireland,462
"2020-10-03",nation,N92000002,Northern Ireland,726
"2020-10-02",nation,N92000002,Northern Ireland,934
"2020-10-01",nation,N92000002,Northern Ireland,259
"2020-09-30",nation,N92000002,Northern Ireland,424
"2020-09-29",nation,N92000002,Northern Ireland,320
"2020-09-28",nation,N92000002,Northern Ireland,220
"2020-09-27",nation,N92000002,Northern Ireland,187
"2020-09-26",nation,N92000002,Northern Ireland,319
"2020-09-25",nation,N92000002,Northern Ireland,273
"2020-09-24",nation,N92000002,Northern Ireland,189
"2020-09-23",nation,N92000002,Northern Ireland,220
"2020-09-22",nation,N92000002,Northern Ireland,75
"2020-09-21",nation,N92000002,Northern Ireland,125
"2020-09-20",nation,N92000002,Northern Ireland,176
"2020-09-19",nation,N92000002,Northern Ireland,222
"2020-09-18",nation,N92000002,Northern Ireland,163
"2020-09-17",nation,N92000002,Northern Ireland,149
"2020-09-16",nation,N92000002,Northern Ireland,129
"2020-09-15",nation,N92000002,Northern Ireland,79
"2020-09-14",nation,N92000002,Northern Ireland,109
"2020-09-13",nation,N92000002,Northern Ireland,87
"2020-09-12",nation,N92000002,Northern Ireland,104
"2020-09-11",nation,N92000002,Northern Ireland,88
"2020-09-10",nation,N92000002,Northern Ireland,78
"2020-09-09",nation,N92000002,Northern Ireland,49
"2020-09-08",nation,N92000002,Northern Ireland,40
"2020-09-07",nation,N92000002,Northern Ireland,141
"2020-09-06",nation,N92000002,Northern Ireland,106
"2020-09-05",nation,N92000002,Northern Ireland,118
"2020-09-04",nation,N92000002,Northern Ireland,61
"2020-09-03",nation,N92000002,Northern Ireland,77
"2020-09-02",nation,N92000002,Northern Ireland,71
"2020-09-01",nation,N92000002,Northern Ireland,49
"2020-08-31",nation,N92000002,Northern Ireland,58
"2020-08-30",nation,N92000002,Northern Ireland,49
"2020-08-29",nation,N92000002,Northern Ireland,89
"2020-08-28",nation,N92000002,Northern Ireland,85
"2020-08-27",nation,N92000002,Northern Ireland,69
"2020-08-26",nation,N92000002,Northern Ireland,72
"2020-08-25",nation,N92000002,Northern Ireland,47
"2020-08-24",nation,N92000002,Northern Ireland,10
"2020-08-23",nation,N92000002,Northern Ireland,119
"2020-08-22",nation,N92000002,Northern Ireland,71
"2020-08-21",nation,N92000002,Northern Ireland,20
"2020-08-20",nation,N92000002,Northern Ireland,51
"2020-08-19",nation,N92000002,Northern Ireland,34
"2020-08-18",nation,N92000002,Northern Ireland,41
"2020-08-17",nation,N92000002,Northern Ireland,39
"2020-08-16",nation,N92000002,Northern Ireland,27
"2020-08-15",nation,N92000002,Northern Ireland,65
"2020-08-14",nation,N92000002,Northern Ireland,74
"2020-08-13",nation,N92000002,Northern Ireland,8
"2020-08-12",nation,N92000002,Northern Ireland,29
"2020-08-11",nation,N92000002,Northern Ireland,48
"2020-08-10",nation,N92000002,Northern Ireland,0
"2020-08-09",nation,N92000002,Northern Ireland,0
"2020-08-08",nation,N92000002,Northern Ireland,0
"2020-08-07",nation,N92000002,Northern Ireland,15
"2020-08-06",nation,N92000002,Northern Ireland,43
"2020-08-05",nation,N92000002,Northern Ireland,10
"2020-08-04",nation,N92000002,Northern Ireland,8
"2020-08-03",nation,N92000002,Northern Ireland,0
"2020-08-02",nation,N92000002,Northern Ireland,0
"2020-08-01",nation,N92000002,Northern Ireland,0
"2020-07-31",nation,N92000002,Northern Ireland,10
"2020-07-30",nation,N92000002,Northern Ireland,8
"2020-07-29",nation,N92000002,Northern Ireland,9
"2020-07-28",nation,N92000002,Northern Ireland,9
"2020-07-27",nation,N92000002,Northern Ireland,0
"2020-07-26",nation,N92000002,Northern Ireland,0
"2020-07-25",nation,N92000002,Northern Ireland,0
"2020-07-24",nation,N92000002,Northern Ireland,15
"2020-07-23",nation,N92000002,Northern Ireland,8
"2020-07-22",nation,N92000002,Northern Ireland,9
"2020-07-21",nation,N92000002,Northern Ireland,2
"2020-07-20",nation,N92000002,Northern Ireland,0
"2020-07-19",nation,N92000002,Northern Ireland,0
"2020-07-18",nation,N92000002,Northern Ireland,0
"2020-07-17",nation,N92000002,Northern Ireland,19
"2020-07-16",nation,N92000002,Northern Ireland,16
"2020-07-15",nation,N92000002,Northern Ireland,9
"2020-07-14",nation,N92000002,Northern Ireland,2
"2020-07-13",nation,N92000002,Northern Ireland,0
"2020-07-12",nation,N92000002,Northern Ireland,0
"2020-07-11",nation,N92000002,Northern Ireland,0
"2020-07-10",nation,N92000002,Northern Ireland,4
"2020-07-09",nation,N92000002,Northern Ireland,3
"2020-07-08",nation,N92000002,Northern Ireland,4
"2020-07-07",nation,N92000002,Northern Ireland,5
"2020-07-06",nation,N92000002,Northern Ireland,0
"2020-07-05",nation,N92000002,Northern Ireland,0
"2020-07-04",nation,N92000002,Northern Ireland,0
"2020-07-03",nation,N92000002,Northern Ireland,4
"2020-07-02",nation,N92000002,Northern Ireland,7
"2020-07-01",nation,N92000002,Northern Ireland,1
"2020-06-30",nation,N92000002,Northern Ireland,3
"2020-06-29",nation,N92000002,Northern Ireland,6
"2020-06-28",nation,N92000002,Northern Ireland,1
"2020-06-27",nation,N92000002,Northern Ireland,2
"2020-06-26",nation,N92000002,Northern Ireland,4
"2020-06-25",nation,N92000002,Northern Ireland,1
"2020-06-24",nation,N92000002,Northern Ireland,2
"2020-06-23",nation,N92000002,Northern Ireland,0
"2020-06-22",nation,N92000002,Northern Ireland,1
"2020-06-21",nation,N92000002,Northern Ireland,4
"2020-06-20",nation,N92000002,Northern Ireland,0
"2020-06-19",nation,N92000002,Northern Ireland,3
"2020-06-18",nation,N92000002,Northern Ireland,1
"2020-06-17",nation,N92000002,Northern Ireland,8
"2020-06-16",nation,N92000002,Northern Ireland,2
"2020-06-15",nation,N92000002,Northern Ireland,4
"2020-06-14",nation,N92000002,Northern Ireland,7
"2020-06-13",nation,N92000002,Northern Ireland,3
"2020-06-12",nation,N92000002,Northern Ireland,16
"2020-06-11",nation,N92000002,Northern Ireland,4
"2020-06-10",nation,N92000002,Northern Ireland,13
"2020-06-09",nation,N92000002,Northern Ireland,3
"2020-06-08",nation,N92000002,Northern Ireland,6
"2020-06-07",nation,N92000002,Northern Ireland,6
"2020-06-06",nation,N92000002,Northern Ireland,14
"2020-06-05",nation,N92000002,Northern Ireland,3
"2020-06-04",nation,N92000002,Northern Ireland,33
"2020-06-03",nation,N92000002,Northern Ireland,8
"2020-06-02",nation,N92000002,Northern Ireland,4
"2020-06-01",nation,N92000002,Northern Ireland,12
"2020-05-31",nation,N92000002,Northern Ireland,7
"2020-05-30",nation,N92000002,Northern Ireland,13
"2020-05-29",nation,N92000002,Northern Ireland,17
"2020-05-28",nation,N92000002,Northern Ireland,16
"2020-05-27",nation,N92000002,Northern Ireland,26
"2020-05-26",nation,N92000002,Northern Ireland,28
"2020-05-25",nation,N92000002,Northern Ireland,39
"2020-05-24",nation,N92000002,Northern Ireland,25
"2020-05-23",nation,N92000002,Northern Ireland,41
"2020-05-22",nation,N92000002,Northern Ireland,23
"2020-05-21",nation,N92000002,Northern Ireland,42
"2020-05-20",nation,N92000002,Northern Ireland,18
"2020-05-19",nation,N92000002,Northern Ireland,20
"2020-05-18",nation,N92000002,Northern Ireland,16
"2020-05-17",nation,N92000002,Northern Ireland,28
"2020-05-16",nation,N92000002,Northern Ireland,40
"2020-05-15",nation,N92000002,Northern Ireland,26
"2020-05-14",nation,N92000002,Northern Ireland,38
"2020-05-13",nation,N92000002,Northern Ireland,60
"2020-05-12",nation,N92000002,Northern Ireland,44
"2020-05-11",nation,N92000002,Northern Ireland,30
"2020-05-10",nation,N92000002,Northern Ireland,41
"2020-05-09",nation,N92000002,Northern Ireland,56
"2020-05-08",nation,N92000002,Northern Ireland,38
"2020-05-07",nation,N92000002,Northern Ireland,50
"2020-05-06",nation,N92000002,Northern Ireland,53
"2020-05-05",nation,N92000002,Northern Ireland,45
"2020-05-04",nation,N92000002,Northern Ireland,69
"2020-05-03",nation,N92000002,Northern Ireland,78
"2020-05-02",nation,N92000002,Northern Ireland,66
"2020-05-01",nation,N92000002,Northern Ireland,87
"2020-04-30",nation,N92000002,Northern Ireland,73
"2020-04-29",nation,N92000002,Northern Ireland,55
"2020-04-28",nation,N92000002,Northern Ireland,34
"2020-04-27",nation,N92000002,Northern Ireland,66
"2020-04-26",nation,N92000002,Northern Ireland,82
"2020-04-25",nation,N92000002,Northern Ireland,104
"2020-04-24",nation,N92000002,Northern Ireland,106
"2020-04-23",nation,N92000002,Northern Ireland,142
"2020-04-22",nation,N92000002,Northern Ireland,116
"2020-04-21",nation,N92000002,Northern Ireland,30
"2020-04-20",nation,N92000002,Northern Ireland,83
"2020-04-19",nation,N92000002,Northern Ireland,159
"2020-04-18",nation,N92000002,Northern Ireland,148
"2020-04-17",nation,N92000002,Northern Ireland,137
"2020-04-16",nation,N92000002,Northern Ireland,113
"2020-04-15",nation,N92000002,Northern Ireland,121
"2020-04-14",nation,N92000002,Northern Ireland,85
"2020-04-13",nation,N92000002,Northern Ireland,76
"2020-04-12",nation,N92000002,Northern Ireland,89
"2020-04-11",nation,N92000002,Northern Ireland,128
"2020-04-10",nation,N92000002,Northern Ireland,112
"2020-04-09",nation,N92000002,Northern Ireland,138
"2020-04-08",nation,N92000002,Northern Ireland,84
"2020-04-07",nation,N92000002,Northern Ireland,97
"2020-04-06",nation,N92000002,Northern Ireland,69
"2020-04-05",nation,N92000002,Northern Ireland,91
"2020-04-04",nation,N92000002,Northern Ireland,94
"2020-04-03",nation,N92000002,Northern Ireland,130
"2020-04-02",nation,N92000002,Northern Ireland,85
"2020-04-01",nation,N92000002,Northern Ireland,103
"2020-03-31",nation,N92000002,Northern Ireland,53
"2020-03-30",nation,N92000002,Northern Ireland,123
"2020-03-29",nation,N92000002,Northern Ireland,86
"2020-03-28",nation,N92000002,Northern Ireland,49
"2020-03-27",nation,N92000002,Northern Ireland,34
"2020-03-26",nation,N92000002,Northern Ireland,32
"2020-03-25",nation,N92000002,Northern Ireland,37
"2020-03-24",nation,N92000002,Northern Ireland,24
"2020-03-23",nation,N92000002,Northern Ireland,20
"2020-03-22",nation,N92000002,Northern Ireland,20
"2020-03-21",nation,N92000002,Northern Ireland,22
"2020-03-20",nation,N92000002,Northern Ireland,9
"2020-03-19",nation,N92000002,Northern Ireland,9
"2020-03-18",nation,N92000002,Northern Ireland,6
"2020-03-17",nation,N92000002,Northern Ireland,10
"2020-03-16",nation,N92000002,Northern Ireland,7
"2020-03-15",nation,N92000002,Northern Ireland,11
"2020-03-14",nation,N92000002,Northern Ireland,5
"2020-03-13",nation,N92000002,Northern Ireland,10
"2020-03-12",nation,N92000002,Northern Ireland,1
"2020-03-11",nation,N92000002,Northern Ireland,2
"2020-03-10",nation,N92000002,Northern Ireland,0
"2020-03-09",nation,N92000002,Northern Ireland,3
"2020-03-08",nation,N92000002,Northern Ireland,5
"2020-03-07",nation,N92000002,Northern Ireland,2
"2020-03-06",nation,N92000002,Northern Ireland,2
"2020-03-05",nation,N92000002,Northern Ireland,0
"2020-03-04",nation,N92000002,Northern Ireland,0
"2020-03-03",nation,N92000002,Northern Ireland,0
"2020-03-02",nation,N92000002,Northern Ireland,0
"2020-03-01",nation,N92000002,Northern Ireland,0
"2020-02-29",nation,N92000002,Northern Ireland,0
"2020-02-28",nation,N92000002,Northern Ireland,0
"2020-02-27",nation,N92000002,Northern Ireland,0
"2020-02-26",nation,N92000002,Northern Ireland,0
"2020-02-25",nation,N92000002,Northern Ireland,0
"2020-02-24",nation,N92000002,Northern Ireland,0
"2020-02-23",nation,N92000002,Northern Ireland,0
"2020-02-22",nation,N92000002,Northern Ireland,0
"2020-02-21",nation,N92000002,Northern Ireland,0
"2020-02-20",nation,N92000002,Northern Ireland,0
"2020-02-19",nation,N92000002,Northern Ireland,0
"2020-02-18",nation,N92000002,Northern Ireland,0
"2020-02-17",nation,N92000002,Northern Ireland,0
"2020-02-16",nation,N92000002,Northern Ireland,0
"2020-02-15",nation,N92000002,Northern Ireland,0
"2020-02-14",nation,N92000002,Northern Ireland,0
"2020-02-13",nation,N92000002,Northern Ireland,0
"2020-02-12",nation,N92000002,Northern Ireland,0
"2020-02-11",nation,N92000002,Northern Ireland,0
"2020-02-10",nation,N92000002,Northern Ireland,0
"2020-02-09",nation,N92000002,Northern Ireland,0
"2020-02-08",nation,N92000002,Northern Ireland,0
"2020-02-07",nation,N92000002,Northern Ireland,0
"2020-02-06",nation,N92000002,Northern Ireland,0
"2020-02-05",nation,N92000002,Northern Ireland,0
"2020-02-04",nation,N92000002,Northern Ireland,0
"2020-02-03",nation,N92000002,Northern Ireland,0
"2020-02-02",nation,N92000002,Northern Ireland,0
"2020-02-01",nation,N92000002,Northern Ireland,0
"2020-01-31",nation,N92000002,Northern Ireland,0
"2020-01-30",nation,N92000002,Northern Ireland,0
"2020-01-29",nation,N92000002,Northern Ireland,0
"2020-01-28",nation,N92000002,Northern Ireland,0
"2020-01-27",nation,N92000002,Northern Ireland,0
"2020-01-26",nation,N92000002,Northern Ireland,0
"2020-01-25",nation,N92000002,Northern Ireland,0
"2020-01-24",nation,N92000002,Northern Ireland,0
"2020-01-23",nation,N92000002,Northern Ireland,0
"2020-01-22",nation,N92000002,Northern Ireland,0
"2020-01-21",nation,N92000002,Northern Ireland,0
"2020-01-20",nation,N92000002,Northern Ireland,0
"2020-01-19",nation,N92000002,Northern Ireland,0
"2020-01-18",nation,N92000002,Northern Ireland,0
"2020-01-17",nation,N92000002,Northern Ireland,0
"2020-01-16",nation,N92000002,Northern Ireland,0
"2020-01-15",nation,N92000002,Northern Ireland,0
"2020-01-14",nation,N92000002,Northern Ireland,0
"2020-01-13",nation,N92000002,Northern Ireland,0
"2020-01-12",nation,N92000002,Northern Ireland,0
"2020-01-11",nation,N92000002,Northern Ireland,0
"2020-01-10",nation,N92000002,Northern Ireland,0
"2020-01-09",nation,N92000002,Northern Ireland,0
"2020-01-08",nation,N92000002,Northern Ireland,0
"2020-01-07",nation,N92000002,Northern Ireland,0
"2020-01-06",nation,N92000002,Northern Ireland,0
"2020-01-05",nation,N92000002,Northern Ireland,0
"2020-01-04",nation,N92000002,Northern Ireland,0
"2020-01-03",nation,N92000002,Northern Ireland,0
